223.105.4.249 - - [10/Jan/2019:00:04:07 +0800] "GET /index.php HTTP/1.1" 404 969
185.234.217.236 - - [10/Jan/2019:00:37:06 +0800] "GET / HTTP/1.1" 200 11418
183.195.4.230 - - [10/Jan/2019:01:14:04 +0800] "GET /gdjk HTTP/1.1" 302 -
183.195.4.230 - - [10/Jan/2019:01:14:04 +0800] "GET /gdjk/ HTTP/1.1" 200 3972
183.195.4.230 - - [10/Jan/2019:01:14:04 +0800] "GET /gdjk/train/css/login.css HTTP/1.1" 200 4452
183.195.4.230 - - [10/Jan/2019:01:14:04 +0800] "GET /gdjk/authCode.do HTTP/1.1" 200 1543
183.195.4.230 - - [10/Jan/2019:01:14:05 +0800] "GET /gdjk/train/js/jquery-1.8.0.min.js HTTP/1.1" 200 92556
183.195.4.230 - - [10/Jan/2019:01:14:05 +0800] "GET /gdjk/train/js/login.js HTTP/1.1" 200 1669
183.195.4.230 - - [10/Jan/2019:01:14:05 +0800] "GET /gdjk/train/js/jquery.particleground.js HTTP/1.1" 200 14075
183.195.4.230 - - [10/Jan/2019:01:14:05 +0800] "GET /gdjk/train/images/yzmz-icon.jpg HTTP/1.1" 200 15000
183.195.4.230 - - [10/Jan/2019:01:14:05 +0800] "GET /gdjk/train/images/user-icon.jpg HTTP/1.1" 200 1405
183.195.4.230 - - [10/Jan/2019:01:14:05 +0800] "GET /gdjk/train/images/mima-icon.jpg HTTP/1.1" 200 1413
183.195.4.230 - - [10/Jan/2019:01:14:14 +0800] "POST /gdjk/login.do HTTP/1.1" 200 9061
183.195.4.230 - - [10/Jan/2019:01:14:14 +0800] "GET /gdjk/train/css/main.css HTTP/1.1" 200 4375
183.195.4.230 - - [10/Jan/2019:01:14:14 +0800] "GET /gdjk/train/css/icon.css HTTP/1.1" 200 4947
183.195.4.230 - - [10/Jan/2019:01:14:14 +0800] "GET /gdjk/train/easyui/easyui-lang-zh_CN.js HTTP/1.1" 200 2501
183.195.4.230 - - [10/Jan/2019:01:14:14 +0800] "GET /gdjk/train/easyui/jquery.min.js HTTP/1.1" 200 95957
183.195.4.230 - - [10/Jan/2019:01:14:14 +0800] "GET /gdjk/train/easyui/easyui.css HTTP/1.1" 200 69986
183.195.4.230 - - [10/Jan/2019:01:14:14 +0800] "GET /gdjk/train/easyui/datagrid-groupview.js HTTP/1.1" 200 13084
183.195.4.230 - - [10/Jan/2019:01:14:14 +0800] "GET /gdjk/train/images/top_bg1.jpg HTTP/1.1" 200 1320
183.195.4.230 - - [10/Jan/2019:01:14:14 +0800] "GET /gdjk/train/images/user.png HTTP/1.1" 200 130034
183.195.4.230 - - [10/Jan/2019:01:14:14 +0800] "GET /gdjk/train/easyui/jquery.easyui.min.js HTTP/1.1" 200 436133
183.195.4.230 - - [10/Jan/2019:01:14:15 +0800] "GET /gdjk/train/easyui/images/blank.gif HTTP/1.1" 200 43
183.195.4.230 - - [10/Jan/2019:01:14:15 +0800] "GET /gdjk/train/easyui/images/panel_tools.png HTTP/1.1" 200 852
183.195.4.230 - - [10/Jan/2019:01:14:15 +0800] "GET /gdjk/train/easyui/images/layout_arrows.png HTTP/1.1" 200 319
183.195.4.230 - - [10/Jan/2019:01:14:15 +0800] "GET /gdjk/train/easyui/images/tabs_icons.png HTTP/1.1" 200 150
183.195.4.230 - - [10/Jan/2019:01:14:15 +0800] "GET /gdjk/train/easyui/images/loading.gif HTTP/1.1" 200 1737
183.195.4.230 - - [10/Jan/2019:01:14:15 +0800] "GET /gdjk/train/anno.do?_=1547025174756 HTTP/1.1" 200 2269
183.195.4.230 - - [10/Jan/2019:01:14:15 +0800] "GET /gdjk/train/css/icons/reload.png HTTP/1.1" 200 1045
183.195.4.230 - - [10/Jan/2019:01:14:15 +0800] "GET /gdjk/sys/getMenuTree2.do? HTTP/1.1" 200 8632
183.195.4.230 - - [10/Jan/2019:01:14:15 +0800] "GET /gdjk/train/easyui/images/accordion_arrows.png HTTP/1.1" 200 184
183.195.4.230 - - [10/Jan/2019:01:14:15 +0800] "GET /gdjk/train/easyui/images/tree_icons.png HTTP/1.1" 200 3115
183.195.4.230 - - [10/Jan/2019:01:14:15 +0800] "GET /gdjk/train/css/ext_icons/zulin.png HTTP/1.1" 200 496
183.195.4.230 - - [10/Jan/2019:01:14:15 +0800] "GET /gdjk/train/css/ext_icons/caidan.png HTTP/1.1" 200 236
183.195.4.230 - - [10/Jan/2019:01:14:15 +0800] "GET /gdjk/train/css/ext_icons/yonghu.png HTTP/1.1" 200 347
183.195.4.230 - - [10/Jan/2019:01:14:15 +0800] "GET /gdjk/train/css/ext_icons/danwei.png HTTP/1.1" 200 1098
