62.4.14.206 - - [20/Jan/2019:00:50:15 +0800] "GET / HTTP/1.1" 200 11418
202.93.231.231 - - [20/Jan/2019:01:02:58 +0800] "GET / HTTP/1.1" 200 11418
45.7.118.50 - - [20/Jan/2019:01:41:42 +0800] "GET / HTTP/1.1" 200 11418
46.174.191.29 - - [20/Jan/2019:02:42:49 +0800] "GET / HTTP/1.0" 200 11398
197.232.1.182 - - [20/Jan/2019:04:19:18 +0800] "GET /manager/html HTTP/1.1" 401 2536
197.232.1.182 - admin [20/Jan/2019:04:19:18 +0800] "GET /manager/html HTTP/1.1" 403 3274
197.232.1.182 - - [20/Jan/2019:04:19:19 +0800] "GET /manager/html HTTP/1.1" 401 2536
197.232.1.182 - - [20/Jan/2019:04:19:19 +0800] "GET /manager/html HTTP/1.1" 401 2536
197.232.1.182 - - [20/Jan/2019:04:19:19 +0800] "GET /manager/html HTTP/1.1" 401 2536
197.232.1.182 - - [20/Jan/2019:04:19:20 +0800] "GET /manager/html HTTP/1.1" 401 2536
197.232.1.182 - - [20/Jan/2019:04:19:20 +0800] "GET /manager/html HTTP/1.1" 401 2536
197.232.1.182 - - [20/Jan/2019:04:19:21 +0800] "GET /manager/html HTTP/1.1" 401 2536
197.232.1.182 - - [20/Jan/2019:04:19:21 +0800] "GET /manager/html HTTP/1.1" 401 2536
78.108.177.50 - - [20/Jan/2019:04:54:26 +0800] "GET / HTTP/1.0" 200 11398
46.174.191.31 - - [20/Jan/2019:05:57:00 +0800] "GET / HTTP/1.0" 200 11398
116.234.152.183 - - [20/Jan/2019:07:37:27 +0800] "GET /gdjk/login.do HTTP/1.1" 200 3994
116.234.152.183 - - [20/Jan/2019:07:37:27 +0800] "GET /gdjk/train/css/login.css HTTP/1.1" 200 4452
116.234.152.183 - - [20/Jan/2019:07:37:27 +0800] "GET /gdjk/authCode.do HTTP/1.1" 200 1574
116.234.152.183 - - [20/Jan/2019:07:37:27 +0800] "GET /gdjk/train/js/login.js HTTP/1.1" 200 1669
116.234.152.183 - - [20/Jan/2019:07:37:27 +0800] "GET /gdjk/train/js/jquery.particleground.js HTTP/1.1" 200 14075
116.234.152.183 - - [20/Jan/2019:07:37:27 +0800] "GET /gdjk/train/images/user-icon.jpg HTTP/1.1" 200 1405
116.234.152.183 - - [20/Jan/2019:07:37:27 +0800] "GET /gdjk/train/js/jquery-1.8.0.min.js HTTP/1.1" 200 92556
116.234.152.183 - - [20/Jan/2019:07:37:27 +0800] "GET /gdjk/train/images/mima-icon.jpg HTTP/1.1" 200 1413
116.234.152.183 - - [20/Jan/2019:07:37:27 +0800] "GET /gdjk/train/images/yzmz-icon.jpg HTTP/1.1" 200 15000
116.234.152.183 - - [20/Jan/2019:07:37:28 +0800] "GET /gdjk/train/images/fav.ico HTTP/1.1" 200 4286
116.234.152.183 - - [20/Jan/2019:07:38:08 +0800] "POST /gdjk/login.do HTTP/1.1" 200 9062
116.234.152.183 - - [20/Jan/2019:07:38:08 +0800] "GET /gdjk/train/css/main.css HTTP/1.1" 200 4375
116.234.152.183 - - [20/Jan/2019:07:38:08 +0800] "GET /gdjk/train/css/icon.css HTTP/1.1" 200 4947
116.234.152.183 - - [20/Jan/2019:07:38:08 +0800] "GET /gdjk/train/easyui/easyui.css HTTP/1.1" 200 69986
116.234.152.183 - - [20/Jan/2019:07:38:08 +0800] "GET /gdjk/train/easyui/datagrid-groupview.js HTTP/1.1" 200 13084
116.234.152.183 - - [20/Jan/2019:07:38:08 +0800] "GET /gdjk/train/easyui/easyui-lang-zh_CN.js HTTP/1.1" 200 2501
116.234.152.183 - - [20/Jan/2019:07:38:08 +0800] "GET /gdjk/train/images/top_bg1.jpg HTTP/1.1" 200 1320
116.234.152.183 - - [20/Jan/2019:07:38:08 +0800] "GET /gdjk/train/easyui/jquery.min.js HTTP/1.1" 200 95957
116.234.152.183 - - [20/Jan/2019:07:38:08 +0800] "GET /gdjk/train/images/user.png HTTP/1.1" 200 130034
116.234.152.183 - - [20/Jan/2019:07:38:08 +0800] "GET /gdjk/train/easyui/jquery.easyui.min.js HTTP/1.1" 200 436133
116.234.152.183 - - [20/Jan/2019:07:38:08 +0800] "GET /gdjk/train/easyui/images/blank.gif HTTP/1.1" 200 43
116.234.152.183 - - [20/Jan/2019:07:38:08 +0800] "GET /gdjk/train/easyui/images/panel_tools.png HTTP/1.1" 200 852
116.234.152.183 - - [20/Jan/2019:07:38:08 +0800] "GET /gdjk/train/easyui/images/layout_arrows.png HTTP/1.1" 200 319
116.234.152.183 - - [20/Jan/2019:07:38:09 +0800] "GET /gdjk/train/easyui/images/tabs_icons.png HTTP/1.1" 200 150
116.234.152.183 - - [20/Jan/2019:07:38:09 +0800] "GET /gdjk/train/easyui/images/loading.gif HTTP/1.1" 200 1737
116.234.152.183 - - [20/Jan/2019:07:38:09 +0800] "GET /gdjk/train/anno.do?_=1547912202327 HTTP/1.1" 200 2484
116.234.152.183 - - [20/Jan/2019:07:38:09 +0800] "GET /gdjk/sys/getMenuTree2.do? HTTP/1.1" 200 8632
116.234.152.183 - - [20/Jan/2019:07:38:09 +0800] "GET /gdjk/train/css/icons/reload.png HTTP/1.1" 200 1045
116.234.152.183 - - [20/Jan/2019:07:38:09 +0800] "GET /gdjk/train/easyui/images/accordion_arrows.png HTTP/1.1" 200 184
116.234.152.183 - - [20/Jan/2019:07:38:09 +0800] "GET /gdjk/train/easyui/images/tree_icons.png HTTP/1.1" 200 3115
116.234.152.183 - - [20/Jan/2019:07:38:09 +0800] "GET /gdjk/train/css/ext_icons/caidan.png HTTP/1.1" 200 236
116.234.152.183 - - [20/Jan/2019:07:38:09 +0800] "GET /gdjk/train/css/ext_icons/zulin.png HTTP/1.1" 200 496
116.234.152.183 - - [20/Jan/2019:07:38:09 +0800] "GET /gdjk/train/anno.do?title=%E6%97%A5%E5%B8%B8%E5%B7%A5%E4%BD%9C%E7%AE%A1%E7%90%86&_=1547912202328 HTTP/1.1" 200 1296
116.234.152.183 - - [20/Jan/2019:07:38:09 +0800] "GET /gdjk/train/css/ext_icons/danwei.png HTTP/1.1" 200 1098
116.234.152.183 - - [20/Jan/2019:07:38:09 +0800] "GET /gdjk/train/css/ext_icons/yonghu.png HTTP/1.1" 200 347
116.234.152.183 - - [20/Jan/2019:07:38:09 +0800] "GET /gdjk/train/css/ext_icons/shebei.png HTTP/1.1" 200 932
116.234.152.183 - - [20/Jan/2019:07:38:09 +0800] "GET /gdjk/train/css/ext_icons/canshu.png HTTP/1.1" 200 535
116.234.152.183 - - [20/Jan/2019:07:38:09 +0800] "GET /gdjk/train/css/ext_icons/zuoye.png HTTP/1.1" 200 412
116.234.152.183 - - [20/Jan/2019:07:38:09 +0800] "GET /gdjk/train/css/ext_icons/weixiu.png HTTP/1.1" 200 686
