119.131.38.241 - - [25/Jan/2019:00:00:07 +0800] "GET /manager/html HTTP/1.1" 401 2536
183.6.117.187 - - [25/Jan/2019:00:00:16 +0800] "GET /manager/html HTTP/1.1" 401 2536
183.6.117.187 - - [25/Jan/2019:00:00:23 +0800] "GET /manager/html HTTP/1.1" 401 2536
191.243.54.99 - - [25/Jan/2019:00:51:14 +0800] "GET / HTTP/1.1" 200 11418
189.124.200.63 - - [25/Jan/2019:01:22:26 +0800] "GET / HTTP/1.1" 200 11418
78.108.177.54 - - [25/Jan/2019:01:28:01 +0800] "GET / HTTP/1.0" 200 11398
80.82.78.50 - - [25/Jan/2019:01:56:15 +0800] "GET /cache/global/img/gs.gif HTTP/1.1" 404 997
139.162.79.87 - - [25/Jan/2019:02:14:49 +0800] "GET / HTTP/1.1" 200 11418
222.44.83.128 - - [25/Jan/2019:02:55:37 +0800] "GET /gdjk/login.do HTTP/1.1" 200 3994
222.44.83.128 - - [25/Jan/2019:02:55:37 +0800] "GET /gdjk/train/css/login.css HTTP/1.1" 200 4452
222.44.83.128 - - [25/Jan/2019:02:55:37 +0800] "GET /gdjk/authCode.do HTTP/1.1" 200 1701
222.44.83.128 - - [25/Jan/2019:02:55:37 +0800] "GET /gdjk/train/js/jquery-1.8.0.min.js HTTP/1.1" 200 92556
222.44.83.128 - - [25/Jan/2019:02:55:37 +0800] "GET /gdjk/train/js/login.js HTTP/1.1" 200 1669
222.44.83.128 - - [25/Jan/2019:02:55:37 +0800] "GET /gdjk/train/js/jquery.particleground.js HTTP/1.1" 200 14075
222.44.83.128 - - [25/Jan/2019:02:55:38 +0800] "GET /gdjk/train/images/user-icon.jpg HTTP/1.1" 200 1405
222.44.83.128 - - [25/Jan/2019:02:55:38 +0800] "GET /gdjk/train/images/mima-icon.jpg HTTP/1.1" 200 1413
222.44.83.128 - - [25/Jan/2019:02:55:38 +0800] "GET /gdjk/train/images/yzmz-icon.jpg HTTP/1.1" 200 15000
222.44.83.128 - - [25/Jan/2019:02:55:48 +0800] "POST /gdjk/login.do HTTP/1.1" 200 9065
222.44.83.128 - - [25/Jan/2019:02:55:48 +0800] "GET /gdjk/train/css/main.css HTTP/1.1" 200 4300
222.44.83.128 - - [25/Jan/2019:02:55:48 +0800] "GET /gdjk/train/easyui/easyui.css HTTP/1.1" 200 69986
222.44.83.128 - - [25/Jan/2019:02:55:48 +0800] "GET /gdjk/train/css/icon.css HTTP/1.1" 200 4947
222.44.83.128 - - [25/Jan/2019:02:55:48 +0800] "GET /gdjk/train/easyui/jquery.min.js HTTP/1.1" 200 95957
222.44.83.128 - - [25/Jan/2019:02:55:48 +0800] "GET /gdjk/train/easyui/datagrid-groupview.js HTTP/1.1" 200 13084
222.44.83.128 - - [25/Jan/2019:02:55:48 +0800] "GET /gdjk/train/easyui/jquery.easyui.min.js HTTP/1.1" 200 436133
222.44.83.128 - - [25/Jan/2019:02:55:48 +0800] "GET /gdjk/train/easyui/easyui-lang-zh_CN.js HTTP/1.1" 200 2501
222.44.83.128 - - [25/Jan/2019:02:55:49 +0800] "GET /gdjk/train/anno.do?_=1548327259219 HTTP/1.1" 200 3197
222.44.83.128 - - [25/Jan/2019:02:55:49 +0800] "GET /gdjk/sys/getMenuTree2.do? HTTP/1.1" 200 8632
222.44.83.128 - - [25/Jan/2019:02:55:49 +0800] "GET /gdjk/train/easyui/images/blank.gif HTTP/1.1" 200 43
222.44.83.128 - - [25/Jan/2019:02:55:49 +0800] "GET /gdjk/train/easyui/images/layout_arrows.png HTTP/1.1" 200 319
222.44.83.128 - - [25/Jan/2019:02:55:49 +0800] "GET /gdjk/train/easyui/images/panel_tools.png HTTP/1.1" 200 852
222.44.83.128 - - [25/Jan/2019:02:55:49 +0800] "GET /gdjk/train/images/top_bg1.jpg HTTP/1.1" 200 1320
222.44.83.128 - - [25/Jan/2019:02:55:49 +0800] "GET /gdjk/train/easyui/images/tabs_icons.png HTTP/1.1" 200 150
222.44.83.128 - - [25/Jan/2019:02:55:49 +0800] "GET /gdjk/train/easyui/images/loading.gif HTTP/1.1" 200 1737
222.44.83.128 - - [25/Jan/2019:02:55:49 +0800] "GET /gdjk/train/images/user.png HTTP/1.1" 200 130034
222.44.83.128 - - [25/Jan/2019:02:55:49 +0800] "GET /gdjk/train/css/icons/reload.png HTTP/1.1" 200 1045
222.44.83.128 - - [25/Jan/2019:02:55:49 +0800] "GET /gdjk/train/anno.do?title=%E8%AE%BE%E5%A4%87%E7%BB%B4%E6%8A%A4%E7%AE%A1%E7%90%86&_=1548327259220 HTTP/1.1" 200 3215
222.44.83.128 - - [25/Jan/2019:02:55:49 +0800] "GET /gdjk/train/easyui/images/accordion_arrows.png HTTP/1.1" 200 184
222.44.83.128 - - [25/Jan/2019:02:55:50 +0800] "GET /gdjk/train/easyui/images/tree_icons.png HTTP/1.1" 200 3115
222.44.83.128 - - [25/Jan/2019:02:55:50 +0800] "GET /gdjk/train/css/ext_icons/shebei.png HTTP/1.1" 200 932
222.44.83.128 - - [25/Jan/2019:02:55:50 +0800] "GET /gdjk/train/css/ext_icons/canshu.png HTTP/1.1" 200 535
222.44.83.128 - - [25/Jan/2019:02:55:50 +0800] "GET /gdjk/train/css/ext_icons/biaoding.png HTTP/1.1" 200 617
222.44.83.128 - - [25/Jan/2019:02:55:50 +0800] "GET /gdjk/train/css/ext_icons/weixiu.png HTTP/1.1" 200 686
222.44.83.128 - - [25/Jan/2019:02:55:50 +0800] "GET /gdjk/train/css/ext_icons/zuoye.png HTTP/1.1" 200 412
222.44.83.128 - - [25/Jan/2019:02:55:50 +0800] "GET /gdjk/train/css/ext_icons/zhuangtai.png HTTP/1.1" 200 265
222.44.83.128 - - [25/Jan/2019:02:55:50 +0800] "GET /gdjk/train/css/ext_icons/xiaoshou.png HTTP/1.1" 200 528
222.44.83.128 - - [25/Jan/2019:02:55:50 +0800] "GET /gdjk/train/css/ext_icons/zulin.png HTTP/1.1" 200 496
222.44.83.128 - - [25/Jan/2019:02:55:50 +0800] "GET /gdjk/train/css/ext_icons/diannao.png HTTP/1.1" 200 719
222.44.83.128 - - [25/Jan/2019:02:55:50 +0800] "GET /gdjk/train/css/ext_icons/shouji.png HTTP/1.1" 200 759
