80.82.70.187 - - [01/Mar/2019:00:04:53 +0800] "GET /cache/global/img/gs.gif HTTP/1.1" 404 997
222.44.83.128 - - [01/Mar/2019:00:40:26 +0800] "GET /gdjk/train/anno.do?title=%E8%AE%BE%E5%A4%87%E7%BB%B4%E6%8A%A4%E7%AE%A1%E7%90%86&_=1551333407095 HTTP/1.1" 999 4008
222.44.83.128 - - [01/Mar/2019:00:40:26 +0800] "GET /gdjk/train/anno.do?title=%E8%AE%BE%E5%A4%87%E7%BB%B4%E6%8A%A4%E7%AE%A1%E7%90%86&_=1551333407096 HTTP/1.1" 999 4008
222.44.83.128 - - [01/Mar/2019:00:40:26 +0800] "GET /gdjk/train/jcsbgl.do?_=1551333407097 HTTP/1.1" 999 4008
222.44.83.128 - - [01/Mar/2019:00:40:26 +0800] "GET /gdjk/outlogin.do HTTP/1.1" 999 4008
222.44.83.128 - - [01/Mar/2019:00:40:27 +0800] "GET /gdjk/outlogin.do HTTP/1.1" 999 4008
222.44.83.128 - - [01/Mar/2019:00:40:27 +0800] "GET /gdjk/outlogin.do HTTP/1.1" 999 4008
222.44.83.128 - - [01/Mar/2019:00:40:27 +0800] "GET /gdjk/train/css/login.css HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:27 +0800] "GET /gdjk/train/js/login.js HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:27 +0800] "GET /gdjk/authCode.do HTTP/1.1" 200 1544
222.44.83.128 - - [01/Mar/2019:00:40:27 +0800] "GET /gdjk/train/js/jquery-1.8.0.min.js HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:27 +0800] "GET /gdjk/train/js/jquery.particleground.js HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:27 +0800] "GET /gdjk/train/images/mima-icon.jpg HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:27 +0800] "GET /gdjk/train/images/user-icon.jpg HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:27 +0800] "GET /gdjk/train/images/yzmz-icon.jpg HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:38 +0800] "POST /gdjk/login.do HTTP/1.1" 200 9065
222.44.83.128 - - [01/Mar/2019:00:40:38 +0800] "GET /gdjk/train/easyui/easyui.css HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:38 +0800] "GET /gdjk/train/css/main.css HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:38 +0800] "GET /gdjk/train/css/icon.css HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:38 +0800] "GET /gdjk/train/easyui/jquery.min.js HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:38 +0800] "GET /gdjk/train/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:38 +0800] "GET /gdjk/train/easyui/datagrid-groupview.js HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:38 +0800] "GET /gdjk/train/easyui/easyui-lang-zh_CN.js HTTP/1.1" 304 -
